"name","handedness","height","weight","avg","HR","avg_scaled","HR_scaled","distance","distance_pctrank"
"Tom Brown","R",73,170,0,0,0,0,54.3765727865091,72.2826086956525
"Denny Lemaster","R",73,182,0.13,4,39.6341463414634,0.710479573712256,15.7805064924482,16.983695652174
"Joe Nolan","L",71,175,0.263,27,80.1829268292683,4.79573712255773,18.5679306483942,45.7142857142856
"Denny Doyle","L",69,175,0.25,16,76.219512195122,2.84191829484902,15.5941715813524,31.7460317460317
"Jose Cardenal","R",70,150,0.275,138,83.8414634146341,24.5115452930728,34.4495778487624,66.1684782608697
"Mike Ryan","R",74,205,0.193,28,58.8414634146341,4.97335701598579,5.62692292979543,0.271739130434783
"Fritz Peterson","B",72,185,0.159,2,48.4756097560976,0.355239786856128,15.0253946102806,46.6019417475728
"Dick Bertell","R",72,200,0.25,10,76.219512195122,1.77619893428064,23.1090582360315,42.6630434782607
"Rod Kanehl","R",73,180,0.241,6,73.4756097560976,1.06571936056838,20.6764869009636,34.1032608695652
"Ozzie Osborn","R",74,195,0,0,0,0,54.3765727865091,72.2826086956525
"John LaRose","L",73,185,0,0,0,0,63.143985979505,79.9999999999998
"Jeff Byrd","R",75,195,0,0,0,0,54.3765727865091,72.2826086956525
"Juan Bonilla","R",69,170,0.256,7,78.0487804878049,1.24333925399645,25.0135540849006,48.7771739130432
"Frank Tepedino","L",71,185,0.241,6,73.4756097560976,1.06571936056838,14.250950726839,24.1269841269841
"Jerry Kutzler","L",73,175,0,0,0,0,63.143985979505,79.9999999999998
"Rick Wise","R",73,180,0.195,15,59.4512195121951,2.66429840142096,7.44516685323444,1.4945652173913
"Darrell Evans","L",74,200,0.248,414,75.609756097561,73.5346358792185,64.9295635548227,99.0476190476188
"Buck Martinez","R",70,190,0.225,58,68.5975609756098,10.3019538188277,15.0015155812069,15.4891304347826
"John Wockenfuss","R",72,190,0.262,86,79.8780487804878,15.2753108348135,27.1479938443617,54.3478260869564
"Tommy McCraw","L",72,183,0.246,75,75,13.3214920071048,13.0842685963458,18.0952380952381
"Jeff Barkley","B",75,185,0,0,0,0,62.7748380266186,86.4077669902912
"Eric Wilkins","R",73,190,0,0,0,0,54.3765727865091,72.2826086956525
"Britt Burns","L",77,215,0,0,0,0,63.143985979505,79.9999999999998
"Lee Lacy","R",73,175,0.286,91,87.1951219512195,16.1634103019538,34.4378884265119,66.0326086956523
"Pete Rose","B",71,192,0.303,160,92.3780487804878,28.4191829484902,37.5173810851509,82.5242718446602
"Danny Walton","R",72,195,0.223,28,67.9878048780488,4.97335701598579,14.3759953977082,13.3152173913044
"Bobby Cox","R",71,180,0.225,9,68.5975609756098,1.59857904085258,15.9114951883484,17.1195652173913
"Brad Wellman","R",72,170,0.231,6,70.4268292682927,1.06571936056838,17.8081189377647,23.5054347826088
"Jeff Newman","R",74,215,0.224,63,68.2926829268293,11.190053285968,14.8926923922183,14.9456521739131
"Pedro Gonzalez","R",72,176,0.244,8,74.390243902439,1.42095914742451,21.4421603538452,36.6847826086956
"Nardi Contreras","B",74,193,0,0,0,0,62.7748380266186,86.4077669902912
"Tommie Reynolds","R",74,190,0.226,12,68.9024390243902,2.13143872113677,16.0058277285882,17.5271739130435
"Gene Clines","R",69,170,0.277,5,84.4512195121951,0.88809946714032,31.3238088809981,62.3641304347827
"Jim Hickman","R",75,192,0.252,159,76.8292682926829,28.2415630550622,30.9131602704087,61.8206521739131
"Jack Billingham","R",76,195,0.111,0,33.8414634146341,0,21.3891118254603,36.2771739130434
"Jerry Buchek","R",71,185,0.22,22,67.0731707317073,3.90763765541741,13.7223190686472,11.0054347826087
"Ivan DeJesus","R",71,175,0.254,21,77.4390243902439,3.73001776198934,23.9013216458338,46.3315217391302
"Gary Nolan","R",74,197,0.138,1,42.0731707317073,0.177619893428064,13.9007091038946,11.5489130434783
"Gil Patterson","R",73,185,0,0,0,0,54.3765727865091,72.2826086956525
"Fred Whitfield","L",73,190,0.253,108,77.1341463414634,19.1829484902309,17.4169374139938,39.3650793650793
"Larry Dierker","R",76,215,0.136,4,41.4634146341463,0.710479573712256,14.1552188042515,12.5
"Dave Skaggs","R",74,200,0.241,3,73.4756097560976,0.532859680284192,20.8501526157969,34.7826086956521
"Dick Ruthven","R",75,190,0.183,1,55.7926829268293,0.177619893428064,7.64043626576111,1.76630434782609
"Jerry Garvin","L",75,195,0,0,0,0,63.143985979505,79.9999999999998
"Steve Eddy","R",74,185,0,0,0,0,54.3765727865091,72.2826086956525
"Dave Kingman","R",78,210,0.236,442,71.9512195121951,78.5079928952043,73.2151811746581,99.8641304347829
"Eric Soderholm","R",71,187,0.264,102,80.4878048780488,18.1172291296625,28.6534987918366,57.7445652173912
"Kevin Mmahat","L",77,220,0,0,0,0,63.143985979505,79.9999999999998
"Ed Brinkman","R",72,170,0.224,60,68.2926829268293,10.6571936056838,14.7720797976582,14.4021739130435
"Wayne Garrett","L",71,175,0.239,61,72.8658536585366,10.8348134991119,10.5496827359414,11.7460317460318
"Tony Muser","L",74,180,0.259,7,78.9634146341463,1.24333925399645,18.7661302326292,46.0317460317459
"Jim Siwy","R",76,200,0,0,0,0,54.3765727865091,72.2826086956525
"Bud Anderson","R",75,210,0,0,0,0,54.3765727865091,72.2826086956525
"Ted Ford","R",70,180,0.219,17,66.7682926829268,3.01953818827709,13.697367463642,10.7336956521739
"Kevin Stanfield","L",72,190,0,0,0,0,63.143985979505,79.9999999999998
"Jim Lyttle","L",72,180,0.248,9,75.609756097561,1.59857904085258,15.6817285811194,32.063492063492
"John Butcher","R",76,185,0,0,0,0,54.3765727865091,72.2826086956525
"Jerry Ujdur","R",73,195,0,0,0,0,54.3765727865091,72.2826086956525
"Scot Thompson","L",75,195,0.262,5,79.8780487804878,0.88809946714032,19.7413406106392,50.7936507936507
"Gene Locklear","L",70,165,0.274,9,83.5365853658537,1.59857904085258,22.780350387119,61.9047619047617
"Bo Diaz","R",71,185,0.255,87,77.7439024390244,15.4529307282416,25.1641134435146,49.5923913043476
"Bump Wills","B",69,172,0.266,36,81.0975609756098,6.3943161634103,18.595519163241,61.1650485436893
"Brian Denman","R",76,205,0,0,0,0,54.3765727865091,72.2826086956525
"Pat Putnam","L",72,205,0.255,63,77.7439024390244,11.190053285968,15.4405118671437,31.1111111111111
"Kurt Bevacqua","R",72,180,0.236,27,71.9512195121951,4.79573712255773,18.3144116351217,25.9510869565218
"Bob Fallon","L",75,200,0,0,0,0,63.143985979505,79.9999999999998
"Syd O'Brien","R",73,185,0.23,24,70.1219512195122,4.26287744227353,16.60625457895,19.429347826087
"Chris Chambliss","L",73,195,0.279,185,85.0609756097561,32.8596802841918,32.2415569008861,73.9682539682538
"Tom Satriano","L",73,185,0.225,21,68.5975609756098,3.73001776198934,8.83123730520184,6.03174603174603
"Jeffrey Leonard","R",74,200,0.266,144,81.0975609756098,25.5772646536412,32.6642822888901,63.9945652173914
"Dal Maxvill","R",71,157,0.217,6,66.1585365853659,1.06571936056838,13.9218280167097,11.6847826086957
"Steve Curry","R",78,217,0,0,0,0,54.3765727865091,72.2826086956525
"Cesar Tovar","R",69,155,0.278,46,84.7560975609756,8.17051509769094,30.9144165939667,61.9565217391305
"Mickey Lolich","B",73,170,0.11,0,33.5365853658537,0,29.5351747062895,79.6116504854369
"Ray Chadwick","B",74,180,0,0,0,0,62.7748380266186,86.4077669902912
